areaName,Borough,areaType,2010 median rent for 1B,2011 median rent for 1B,2012 median rent for 1B,2013 median rent for 1B,2014 median rent for 1B,2015 median rent for 1B,2016 median rent for 1B,2017 median rent for 1B,2018 median rent for 1B,2019 median rent for 1B,2020 median rent for 1B,2021 median rent for 1B,2022 median rent for 1B,2023 estimated median rent for 1B  (using 8 months in 2023)
Roosevelt Island,Manhattan,neighborhood,2300,2475.5,2843,2949,2997.5,2900,2919,2662.5,2637.5,2787.5,2879,3164.5,3561,3861.5
Rosedale,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Schuylerville,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Seagate,Brooklyn,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Sheepshead Bay,Brooklyn,neighborhood,1175,1287.5,1400,1394,1416.5,1487.5,1547.5,1642.5,1697.5,1695,1675,1697.5,1794,2224
Soho,Manhattan,neighborhood,3024,3600,3800,3500,3225,3422.5,3348,3412.5,3565,3850,3550,4210,4500,4670
Soundview,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,1263,1344,#NUM!,#NUM!,1425,1425,1630,#NUM!,#NUM!,#NUM!
South Brooklyn,Brooklyn,submarket,1299,1287.5,1385,1445,1476.5,1525,1622,1650,1687.5,1725,1747.5,1747.5,1987.5,2278
South Jamaica,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
South Ozone Park,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
South Queens,Queens,submarket,#NUM!,#NUM!,1430,1353,1416.5,1472.5,1553.5,1695.5,1625,1737.5,1775,1912.5,2073.5,2209.5
South Richmond Hill,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Springfield Gardens,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
St. Albans,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Staten Island,Staten Island,borough,#NUM!,#NUM!,1350,1150,1150,1297.5,1500,1550,1575,1720,1795,1600,1587.5,1725
Stuyvesant Town/PCV,Manhattan,neighborhood,#NUM!,3324,3378,3249.5,3274,3258,3256.5,3431.5,3573.5,3570.5,3662,4285,4458,4510
Sunnyside,Queens,neighborhood,1400,1450,1525,1587.5,1730,1847.5,1925,1887.5,1862.5,1924,1830,1875,2075,2250
Sunset Park,Brooklyn,neighborhood,1200,1050,1313,1400,1449.5,1562.5,1637.5,1719,1687,1700,1736.5,1674.5,1794,2067.5
The Rockaways,Queens,submarket,#NUM!,#NUM!,#NUM!,#NUM!,1300,#NUM!,1603,1571.5,1695,1725,1693.5,1807,1905.5,2100
Throgs Neck,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Tremont,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1300,1362.5,1350,#NUM!,#NUM!,1725,1600,1687.5,1695
Tribeca,Manhattan,neighborhood,3850,4022.5,4324,4269,4467.5,4546.5,4670.5,4545.5,4662.5,5051.5,4710,5354,6201,6416.5
University Heights,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,1212.5,1275,1350,1473,1524.5,1554,1609.5,1598,1672.5,1817
Upper East Side,Manhattan,neighborhood,2495,2599,2637.5,2675,2731.5,2822.5,2885,2797.5,2875,3025,2807.5,2686,3375,3497.5
Upper West Side,Manhattan,neighborhood,2600,2875,2967.5,2970,2975,3125,3150,3120,3120,3307,3025,3194,3912,4088
Utopia,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Van Nest,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Wakefield,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,1375,1312.5,1412.5,1375,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Washington Heights,Manhattan,neighborhood,1429,1497.5,1500,1600,1575,1672,1750,1800,1799,1837.5,1847.5,1850,2037.5,2200
West Harlem,Manhattan,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1850,1887.5,2305,2369,2162.5,1985,1921.5,2219,2636.5
West Village,Manhattan,neighborhood,3071.5,3312.5,3300,3400,3475,3550,3594,3496.5,3624,3897.5,3555,3793,4597.5,4612.5
Westchester Village,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Whitestone,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Williamsbridge,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1500,#NUM!
Williamsburg,Brooklyn,neighborhood,2525,2800,2986.5,2943,2972.5,3096.5,3065,2870,2750,2987.5,2950,3099.5,3857.5,4156.5
Windsor Terrace,Brooklyn,neighborhood,1700,1649,1800,2150,2200,2200,2162.5,2147.5,2248.5,2372.5,2336.5,2225,2647.5,2986.5
Woodhaven,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1700,#NUM!,#NUM!,#NUM!,1688,1701,#NUM!,1975,1975
Woodlawn,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Woodside,Queens,neighborhood,#NUM!,1475,#NUM!,1450,1597.5,1662.5,1681.5,1706.5,1695,1775,1762.5,1799.5,1887.5,2187.5
Woodstock,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
